metrics,pearson,spearman,kendalltau
fact_gptscore_gpt2-large_src_hypo,0.09553995202939973,0.0811785128648208,0.06642049868062831
fact_bartscore_facebook/bart-large-cnn_src_hypo,0.1837765865136938,0.15895941981003772,0.13006106617581928
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,0.06526630913206224,0.047809169011568606,0.03911760310936854
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,-0.09959232159141336,-0.09561833802313721,-0.07823520621873709
fact_bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,-0.05777863956705795,-0.05739527142759378,-0.046960980382566804
fact_rouge-1-p_ref_hypo,0.2998139411504957,0.29279441963006286,0.2418555174666475
fact_rouge-1-r_ref_hypo,0.047068845242729106,0.0005460489683598642,0.00044704194447923074
fact_rouge-1-f_ref_hypo,0.05476710853024068,0.011527599112623629,0.009432406864603232
fact_rouge-2-p_ref_hypo,0.2312228943337726,0.239581449537808,0.1971742336339381
fact_rouge-2-r_ref_hypo,0.11646506134044889,0.12261754801604627,0.1003486674542359
fact_rouge-2-f_ref_hypo,0.121141196487439,0.12862365267071757,0.10524025202012856
fact_rouge-l-p_ref_hypo,0.2860224519544711,0.2853000918399489,0.2353219657944514
fact_rouge-l-r_ref_hypo,0.06587112043066258,0.026088914534561972,0.02135528802197335
fact_rouge-l-f_ref_hypo,0.0746931847164417,0.04113533639941688,0.033659391040902986
fact_meteor_ref_hypo,0.03479858343667684,-0.01504654050110281,-0.012311123821222587
fact_bleu_ref_hypo,-0.15913141860558477,-0.1640159631025677,-0.13578651774097888
fact_moverscore_default_ref_hypo,0.07450216951377175,0.05169214720540159,0.042294667321296955
fact_unieval_fact_consistency_src_hypo,0.46137590341526413,0.48792047866882576,0.3992179748801293
fact_unieval_summarization_coherence_src_hypo,0.31284590776358007,0.3685188992084616,0.3015232503633306
fact_unieval_summarization_consistency_src_hypo,0.33304742372117024,0.38744841790339735,0.3170114383964816
fact_unieval_summarization_fluency_src_hypo,0.0007683821055037733,0.04538230764042299,0.03713193797691328
fact_unieval_summarization_overall_src_hypo,0.3167129467513187,0.343643570154219,0.28117018275566424
