,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
QAGS_CNN-consistency,0.6802926519816688,0.6756859505401248,0.04764612431978634,0.5073204281092073,0.5002505524870208,0.060480873030979335,0.2512716157658835,0.2440713791388683,0.06826227105387082,0.5827229673113852,0.5696369500501105,0.057360154696224935,0.3257066815776824,0.3156236529915003,0.06497407469132857,0.3525297961891702,0.33765762222467666,0.06562657638805895,0.36099843207200727,0.3522719294062076,0.06576244240680754,0.4182935226638168,0.4092054198285791,0.06497311885342531,0.5747114256814787,0.5658459384719466,0.0517997022864766,0.6330290990176493,0.6284063387914104,0.049397806473775084
QAGS_XSUM-consistency,0.15895941981003772,0.1544285166352023,0.08322655944898888,-0.05739527142759378,-0.060429027384709254,0.08497233920798221,0.18016261231991892,0.17618035732448845,0.07031898564707649,0.0811785128648208,0.07808225160067478,0.07979534632676576,-0.01504654050110281,-0.017836312083061797,0.08451284597087748,-0.02062832165473772,-0.02842673427388247,0.08492359694711807,0.011527599112623627,0.0007634157656266434,0.08133914406383591,0.12862365267071757,0.11364058807593835,0.07791715627959299,0.3685188992084616,0.3619453050949999,0.07098584376335512,0.343643570154219,0.3373671459147327,0.07407424892136825
SFHOT-consistency,0.22223037047406183,0.21201576883132556,0.09125842089025343,0.22053997608120893,0.2126689014709771,0.09623647212996098,-0.06585906005724226,-0.06311918703365063,0.09384434399866437,0.21889040879871496,0.21134986572599013,0.09014765732992662,0.06913904935030064,0.06545214690512301,0.10311799355315622,0.20063714531096602,0.1937834121503263,0.09625927741944293,0.10210486680909116,0.10037201010190627,0.0989260453140436,0.08925078774388183,0.08485861624173152,0.09563435130681507,0.18488857392789912,0.16959721540353803,0.10255263949202334,0.27044100655198744,0.2681288275898239,0.09247111393798552
SFRES-consistency,0.2535052567279331,0.25958802481335064,0.09128494836198937,0.1847127827293991,0.19390441362721997,0.09200270866945706,-0.039485216043777145,-0.04586019341493953,0.08646815590598043,0.2710261436584351,0.28018998762310554,0.08514976655671479,0.17515993725746531,0.189917581808407,0.0875114440565478,0.17246517581595652,0.18040923919638277,0.08600656873784429,0.11643020424808266,0.13259651150888024,0.09299678229380982,0.11016830783868366,0.12638331973840458,0.0980675532186033,0.23801059689115484,0.22769290198078854,0.08563755193461633,0.2829724633874371,0.2723973960260582,0.08607931915248097
SummEval-consistency,0.3339253048084403,0.344059626873212,0.07802955027421972,0.1999619491304202,0.19097168975416132,0.09439878632386153,0.05591098640005875,0.058005150526740386,0.0976715047391989,0.3547440309370872,0.3623396554239253,0.07388915476322733,0.1521542641685591,0.14646082345468792,0.10264235107574594,0.14586491837989954,0.13200948555087616,0.10141282689504093,0.0810456268061368,0.07747478578145009,0.09257364822051645,0.06839205577799559,0.06455751502637642,0.09743032021669919,0.4152495894005675,0.4159359254621273,0.07976021949942062,0.4286645112441002,0.4310563224059004,0.07773910055515844
usr_persona_mean-consistency,-0.018832204545314382,-0.02144633093932556,0.07787741924128451,0.10210694405642044,0.09810384555209622,0.06787196638139173,-0.03779654695588878,-0.03457558760831348,0.07526366834775743,-0.09885646959406054,-0.10416253874850262,0.08447627465526418,0.10633809465646275,0.11629836469629636,0.07146340147840134,0.06869136264683662,0.06974533383600048,0.07324646470758016,0.04753440423237038,0.04420948333752578,0.07806512384853359,0.05201726522444141,0.05785870539821131,0.08746315223159465,0.06340565549140703,0.0768765151804505,0.07843361243722007,0.04991100207524146,0.05842668220910159,0.07675778108263515
usr_topic_mean-consistency,-0.1254248556688746,-0.1127448363636565,0.08146697028184183,0.3619602703570624,0.3708464321949397,0.07508065838984608,-0.026216239684071697,-0.012846001648433088,0.09280682300265283,-0.18873128942928036,-0.17704212417049486,0.07330913326065569,0.3523536264800139,0.35075853646721633,0.06946115172600047,0.26145043247810923,0.26271918835052577,0.0696933173731295,0.251382122054609,0.2547826503309671,0.0736582761698188,0.23996676168909012,0.2371797707129672,0.07702247271443102,0.1812293684341823,0.1975497563889553,0.07564926036522303,0.1268288696757091,0.14309985000297223,0.0733765313402034
