,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
Newsroom-coherence,0.6229352957318569,0.6180964334602927,0.05522399171526341,0.22060549320024037,0.2209043115220844,0.08362777494109218,0.22919860417084967,0.23422175103974477,0.08722781120756465,0.5953029524594675,0.5948745355654479,0.05299208430649667,0.18096253304209764,0.18844279400241284,0.08226751089548237,0.027361331765834915,0.024268974821626547,0.08885695758364125,0.06922457256710894,0.0705752608785285,0.08311129469858702,-0.07319427148577841,-0.07968375403642418,0.10125317505591995,0.4581285925866393,0.4526878075508369,0.06719709388045585,0.4864944706799781,0.48091531272888866,0.06251284085741667
SummEval-coherence,0.40774867046230034,0.4134030824472477,0.07689407208248611,0.3331269300480893,0.3217528086947997,0.08978617902894866,0.06532052160932343,0.07124816172822593,0.0870924136321833,0.41244468688120345,0.413349027532703,0.08542578189185464,0.1344249818252241,0.11730556483054605,0.09883069525378961,0.15432722997950005,0.147047145753628,0.08527561796663066,0.18020644758952173,0.1720395173693529,0.08948075754891834,0.1531553851751766,0.14336006669120582,0.09586971837314577,0.5918103119993195,0.5835520005810015,0.06339548450620915,0.5380727298228339,0.5341226056645572,0.07062025627663722
usr_persona_mean-coherence,0.005542268437284099,0.012920185364746093,0.0797638254605023,0.2599334455536839,0.2560163084428273,0.06690886759258809,-0.06501933481949547,-0.05532748929040498,0.07731902132192275,0.0463116596337722,0.040448381363826495,0.07382939249702702,0.18011245657041555,0.16835993129452775,0.07629442563768359,0.21847821413146054,0.2060297086863569,0.06443455150837317,0.07079797715153155,0.06464344716745604,0.07507683197794705,0.04972446724287222,0.048481686412908766,0.0643447652905023,0.22138913305474542,0.22407340262519942,0.07586837789032666,0.1851842059576457,0.18712398030872912,0.07408950153613623
usr_topic_mean-coherence,0.045976225305318294,0.040541731316990876,0.07745904865325205,0.30850970480489476,0.3137382552408859,0.06861395688290424,0.07243877987608183,0.06735379576781837,0.08213233435941338,0.07206048171892111,0.06463136421276575,0.07984778908325725,0.27994607419207646,0.2855444650165728,0.0828835131164621,0.2271017618464139,0.23293739312105619,0.07116630401767472,0.1916987626212816,0.20358287448012372,0.07734657195221058,0.17192937517852108,0.16421990858550278,0.08548924687206913,0.38018491466883014,0.3832155822281094,0.06613971850576542,0.2955569101013108,0.295428073371166,0.06410014104354814
