,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
BAGEL-fluency,0.2406628557175005,0.24994788152228803,0.10341870232151644,0.24751234036673267,0.25168836999646294,0.09425055636019461,0.14176293951578045,0.14703169151016124,0.08419627321024223,0.15226573309401953,0.16434609522658572,0.09159433333579241,0.10944999092648897,0.11075325103486533,0.09388301519149131,0.18764021481375334,0.19125253308934922,0.09155492505542646,0.11740854182722657,0.119596533128611,0.09115743866718716,0.15402556685404786,0.15814748531641254,0.08537700436380319,0.28205303760255446,0.28667932433930626,0.09187222742678472,0.30858356509783424,0.32297453725184977,0.08765217962595129
Newsroom-fluency,0.5963009342511186,0.5850461914313455,0.0670670421958178,0.18164220592900263,0.15986340456777803,0.1015841989386759,0.19487928911293356,0.1893423952686958,0.1011535052615796,0.5649392843366718,0.5535484847849357,0.06383555591663707,0.14177546672472965,0.1262252776356858,0.09234126364305698,-0.001632802581401897,-0.0072262442264584125,0.09753018385606461,0.03808443233973177,0.02611287756541894,0.09588597815099638,-0.08790877459411783,-0.08110792124551322,0.08967328959656312,0.48611187066849953,0.4680639513948058,0.06300713879072524,0.5157640092246609,0.4955643068544291,0.06132766936800146
SFHOT-fluency,0.16358886335719694,0.150950617942901,0.09308745457888033,0.1635293408709416,0.15992951935663474,0.08994784776665891,-0.011598547897426242,-0.010440614108224751,0.0981214243587528,0.1349661628536634,0.12395204229189061,0.0909726772943196,0.014714752500923328,0.008444234709902552,0.0929579678206985,0.1551331655462044,0.14708140288715085,0.09100059656003179,0.03876300759824146,0.03208988574521378,0.09199317168788013,0.04333812661927137,0.038627218598628825,0.09183245098859504,0.13805676724289517,0.12401170500538226,0.0964397044905576,0.323592281441144,0.3280829110466145,0.08834176929959643
SFRES-fluency,0.22571917925222545,0.21106512916936185,0.08864152853633513,0.18378707679413353,0.18053639112276215,0.10377083634888296,-0.05534461679685287,-0.044075641798451894,0.10019400746960393,0.2285375662863524,0.21126336580669922,0.08658144768575575,0.14318136068523912,0.1397987334541721,0.11092900624495533,0.15465694593083348,0.15451030865561172,0.10011549854836273,0.07979930662826597,0.07969898530347319,0.11001855884493913,0.08259558907692972,0.0811801950992771,0.11608369243354152,0.1534147039694144,0.15123361217299547,0.09349914722222026,0.3229935910986521,0.3130705418320689,0.08048140664612845
SummEval-fluency,0.2845264406940739,0.27822000757531756,0.09834056971668267,0.19350845000948708,0.19086131160713957,0.09898350641335292,0.009878559718471883,0.010434553374803144,0.08963705676965844,0.28846986771093,0.2901659617455983,0.10096680703043641,0.09040382936143503,0.08049759201451215,0.10232489872409399,0.12219192646314848,0.1167016229071333,0.10339119879972497,0.05745764295763354,0.05771951669327348,0.09390732149761004,0.04318571587854261,0.04888231339538111,0.09417145350645335,0.3457092086144479,0.3356999423136701,0.0930777575042332,0.433569247868926,0.42607402054039833,0.0919005827519828
usr_persona_mean-fluency,0.0337071933891842,0.03706380490525137,0.07828135302221051,0.32208320715028194,0.3200115361039093,0.0754826342208849,-0.07251820263413328,-0.07132984112234546,0.07144474633714745,-0.03013582993188931,-0.02911667141816713,0.07743695106098443,0.05348765404335474,0.053787546783586625,0.08719052692437192,0.11406363505186635,0.1124925386764341,0.07993646315919337,0.013871232820051071,0.01133140948512904,0.08233574741116556,0.05453662002895054,0.05027432101316094,0.06659156565495816,0.3616248666923576,0.3603377845202626,0.06836895194156328,0.36726734596040655,0.36353292703284396,0.06490432566853355
usr_topic_mean-fluency,0.02656993177838867,0.01521089173790267,0.08676413977586657,0.29246027050425244,0.29623025313301055,0.0737766232324829,0.04084067092075634,0.04080774574429816,0.09190004039944055,0.08741933748040605,0.08097372625031758,0.09281691345298484,0.2064644294493807,0.21465035109507735,0.07428753120148032,0.14917924630444127,0.14788460638753675,0.08270952328572412,0.11754092315838595,0.12084639596186243,0.07683806320074221,0.14557043527652871,0.15228128628885365,0.07781767294984922,0.4249353211102196,0.4229561517960693,0.05949665758642117,0.3946803520797058,0.38633748615088953,0.06278007054261531
webnlg-fluency,0.330499815434963,0.3290076400278009,0.09108098658295873,0.49928006929732527,0.49133019444650544,0.0773785172324512,-0.0717373223701032,-0.07816020712893548,0.09404698496173504,0.07186694664231645,0.07517968470205334,0.10079992378320549,0.3316233483705551,0.3194153917503711,0.09382765359935853,0.42882494121238485,0.4239396227949387,0.08660490798707002,0.2627576015483032,0.25230035662469324,0.09912667221980788,0.27853185288161525,0.27079480111645665,0.08837796100348778,0.48019047660044895,0.477160458606358,0.07546229933487533,0.5651140323020304,0.5599306276720815,0.07354939090660531
