id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
72,4.0,5.0,4.0,-3.062174320220948,-2.8413572311401367,[0.9999995827674866],[0.9999995827674866],[0.9999995827674866],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[0.9993141289437586],[1.2387197655613557e-231],[1.0],0.9558040097372356,0.9774966524620906,0.9810357005080583,0.8882933361425144,0.9489418963708878
73,5.0,5.0,5.0,-3.472606658935547,-3.2906174659729004,"[0.8970649242401123, 0.8966062068939209]","[0.7139308452606201, 0.719423770904541]","[0.7950887680053711, 0.7983017563819885]","[1.0, 0.8333333333333334]","[0.5454545454545454, 0.38461538461538464]","[0.7058823483737025, 0.5263157851523547]","[0.8333333333333334, 0.5]","[0.4166666666666667, 0.21428571428571427]","[0.5555555511111112, 0.29999999580000003]","[1.0, 0.6666666666666666]","[0.5454545454545454, 0.3076923076923077]","[0.7058823483737025, 0.4210526272576177]","[0.5812733208955223, 0.31552094522019336]","[1.1368587676511996e-231, 1.1368587676511996e-231]","[0.5217615110988494, 0.4467799852997203]",0.8010996137668637,0.9390876673892105,0.9521946832602136,0.20006388531971173,0.6971154119897119
74,6.0,5.0,6.0,-3.2392172813415527,-3.386753559112549,"[1.0000001192092896, 0.731895923614502]","[1.0000001192092896, 0.8000692129135132]","[1.0000001192092896, 0.7644656896591187]","[1.0, 0.625]","[1.0, 0.8333333333333334]","[0.999999995, 0.7142857093877552]","[1.0, 0.5555555555555556]","[1.0, 0.7142857142857143]","[0.999999995, 0.6249999950781252]","[1.0, 0.625]","[1.0, 0.8333333333333334]","[0.999999995, 0.7142857093877552]","[0.9996243425995492, 0.8335382345709367]","[1.3165594234639305e-231, 1.1896457329133973e-231]","[1.0, 0.6772505603730838]",0.9263230245353228,0.9267145616528427,0.9577981085541097,0.1894299574641828,0.6913142092237118
75,3.0,4.0,4.0,-3.297798156738281,-3.229782819747925,"[0.8968997001647949, 0.9147065877914429]","[0.7786722779273987, 0.8721368908882141]","[0.8336150050163269, 0.8929145932197571]","[1.0, 1.0]","[0.6666666666666666, 0.8571428571428571]","[0.7999999952000001, 0.9230769181065088]","[0.8333333333333334, 1.0]","[0.5, 0.75]","[0.6249999953125001, 0.8571428522448981]","[1.0, 1.0]","[0.6666666666666666, 0.8571428571428571]","[0.7999999952000001, 0.9230769181065088]","[0.6465517241379309, 0.755560651226783]","[1.2882297539194154e-231, 1.0832677820940877e-231]","[0.5938295116834218, 0.7666623722730135]",0.8504467269127711,0.9458373636151443,0.954726886346208,0.20006388531971173,0.7002093784270214
76,5.0,4.0,5.0,-3.3313093185424805,-3.9217822551727295,"[0.6349002718925476, 0.6810324192047119]","[0.6179254055023193, 0.6188793182373047]","[0.6262978315353394, 0.6484699845314026]","[0.4444444444444444, 0.6666666666666666]","[0.4444444444444444, 0.46153846153846156]","[0.44444443944444445, 0.5454545406198348]","[0.09090909090909091, 0.2727272727272727]","[0.1111111111111111, 0.21428571428571427]","[0.09999999505000023, 0.23999999507200007]","[0.4444444444444444, 0.5555555555555556]","[0.4444444444444444, 0.38461538461538464]","[0.44444443944444445, 0.4545454497107439]","[0.3611650485436893, 0.4473527070063694]","[1.1409851298103347e-231, 1.2627076138080564e-231]","[0.3007655866909611, 0.2945919548563499]",0.8693226958167144,0.8128329955243935,0.9128602846927395,0.2895504262656076,0.6717479021609135
77,5.0,5.0,5.0,-3.895764589309693,-3.414491891860962,"[0.6775800585746765, 0.8291463851928711]","[0.5126180648803711, 0.616377592086792]","[0.5836671590805054, 0.7071031332015991]","[0.8, 1.0]","[0.3076923076923077, 0.4166666666666667]","[0.44444444043209885, 0.588235289965398]","[0.2, 0.4]","[0.07692307692307693, 0.16666666666666666]","[0.11111110709876558, 0.23529411349480975]","[0.6, 1.0]","[0.23076923076923078, 0.4166666666666667]","[0.33333332932098775, 0.588235289965398]","[0.3002738654147105, 0.4304127666104035]","[1.4740564900137075e-231, 1.4740564900137075e-231]","[0.14711515034662737, 0.3301491755455659]",0.8521412278761632,0.95338504552231,0.960510554009783,0.8252646167741914,0.9130534054354281
78,5.0,6.0,6.0,-2.886754035949707,-3.834193468093872,"[0.7606708407402039, 0.7681947946548462]","[0.7282761335372925, 0.7385534644126892]","[0.7441211342811584, 0.7530826330184937]","[0.6363636363636364, 0.5454545454545454]","[0.5384615384615384, 0.5454545454545454]","[0.5833333283680556, 0.5454545404545454]","[0.09090909090909091, 0.09090909090909091]","[0.07692307692307693, 0.08333333333333333]","[0.08333332836805586, 0.08695651674858251]","[0.45454545454545453, 0.36363636363636365]","[0.38461538461538464, 0.36363636363636365]","[0.4166666617013889, 0.3636363586363637]","[0.3945612278945613, 0.42010835775823796]","[1.1409851298103347e-231, 1.1409851298103347e-231]","[0.4648556437034096, 0.48037910057057853]",0.8573311149169625,0.9469570514546355,0.9499774468258642,0.5356125079323999,0.8108490020709666
79,6.0,6.0,6.0,-3.005704641342163,-3.4841837882995605,"[0.8364044427871704, 0.7267656326293945]","[0.8725043535232544, 0.8236911296844482]","[0.8540730476379395, 0.7721987962722778]","[0.7692307692307693, 0.5384615384615384]","[0.9090909090909091, 0.875]","[0.8333333283680556, 0.6666666619501135]","[0.5, 0.35714285714285715]","[0.6363636363636364, 0.625]","[0.5599999950720002, 0.4545454499173554]","[0.5384615384615384, 0.38461538461538464]","[0.6363636363636364, 0.625]","[0.5833333283680556, 0.476190471473923]","[0.8696219715956557, 0.7731958762886597]","[1.1988328686372911e-231, 1.0832677820940877e-231]","[0.6130101477996177, 0.5173197072486513]",0.911712402059853,0.9114443565294684,0.9289975960500211,0.34541331331050307,0.7286184219633309
80,4.0,5.0,5.0,-3.342059135437012,-3.124194383621216,"[0.9414361715316772, 0.8228086829185486]","[0.8364686369895935, 0.6626399755477905]","[0.8858538269996643, 0.7340892553329468]","[0.8333333333333334, 0.8333333333333334]","[0.5555555555555556, 0.4166666666666667]","[0.6666666618666668, 0.5555555511111112]","[0.5, 0.5]","[0.3333333333333333, 0.25]","[0.39999999520000007, 0.33333332888888895]","[0.6666666666666666, 0.8333333333333334]","[0.4444444444444444, 0.4166666666666667]","[0.5333333285333334, 0.5555555511111112]","[0.5931718481785236, 0.5077551020408162]","[1.2882297539194154e-231, 9.55980462367717e-232]","[0.6215358407238023, 0.392541131560289]",0.8347744510709149,0.955649046526911,0.9628663138571975,0.20006388531971173,0.7061930819012735
81,4.0,4.0,4.0,-3.696951150894165,-3.4073281288146973,"[0.8838105201721191, 0.90213942527771]","[0.6579582691192627, 0.6900136470794678]","[0.7543419599533081, 0.781945526599884]","[1.0, 0.8333333333333334]","[0.42857142857142855, 0.4166666666666667]","[0.5999999958, 0.5555555511111112]","[0.8333333333333334, 0.5]","[0.3333333333333333, 0.21428571428571427]","[0.4761904721088436, 0.29999999580000003]","[1.0, 0.6666666666666666]","[0.42857142857142855, 0.3333333333333333]","[0.5999999958, 0.44444444000000005]","[0.4362383540372671, 0.417561761546724]","[1.2882297539194154e-231, 1.2882297539194154e-231]","[0.4362725794583028, 0.3883669993752139]",0.8116115956622735,0.9340834892515644,0.9461414135385929,0.20006388531971173,0.6934295960366231
82,5.0,4.0,5.0,-3.4995346069335938,-3.178819417953491,"[0.9478280544281006, 0.8534196019172668]","[0.8754396438598633, 0.9249255061149597]","[0.910196840763092, 0.8877349495887756]","[0.875, 0.75]","[0.6363636363636364, 1.0]","[0.7368421003878117, 0.8571428522448981]","[0.5, 0.625]","[0.36363636363636365, 0.8333333333333334]","[0.42105262670360116, 0.7142857093877552]","[0.75, 0.75]","[0.5454545454545454, 1.0]","[0.6315789424930748, 0.8571428522448981]","[0.6775541946145621, 0.9477215543751747]","[1.2183324802375697e-231, 1.0244914152188952e-231]","[0.711102114368132, 0.7083197726018216]",0.914179968663024,0.972666841550738,0.9781791346808764,0.6872608516965355,0.8793689426427166
83,5.0,6.0,6.0,-2.9447944164276123,-3.75320076942444,"[0.8528386950492859, 0.8953325152397156]","[0.8759002089500427, 0.9269599318504333]","[0.864215612411499, 0.9108717441558838]","[0.8888888888888888, 0.8888888888888888]","[1.0, 1.0]","[0.9411764656055364, 0.9411764656055364]","[0.6363636363636364, 0.8181818181818182]","[0.7777777777777778, 1.0]","[0.6999999950500001, 0.8999999950500001]","[0.7777777777777778, 0.8888888888888888]","[0.875, 1.0]","[0.823529406782007, 0.9411764656055364]","[0.8555932703659977, 0.9360242030696577]","[1.2627076138080564e-231, 1.2627076138080564e-231]","[0.7940883218452538, 0.8395654940746878]",0.837435436643972,0.9512457990711725,0.9624831601676229,0.600777169552139,0.8381687095969781
84,6.0,6.0,6.0,-3.1403162479400635,-4.28156328201294,"[0.8631178140640259, 0.8428348302841187]","[0.778753399848938, 0.7994470000267029]","[0.8187681436538696, 0.820567786693573]","[0.8571428571428571, 0.8571428571428571]","[0.6666666666666666, 0.6666666666666666]","[0.7499999950781251, 0.7499999950781251]","[0.7777777777777778, 0.4444444444444444]","[0.7, 0.4]","[0.7368421002770082, 0.42105262659279785]","[0.8571428571428571, 0.8571428571428571]","[0.6666666666666666, 0.6666666666666666]","[0.7499999950781251, 0.7499999950781251]","[0.6442577030812325, 0.6442577030812325]","[1.3165594234639305e-231, 1.3165594234639305e-231]","[0.6040214364912126, 0.6208781831032244]",0.7779741619004059,0.907133760857554,0.9280044479450316,0.7279197519281667,0.8543526535769175
85,4.0,6.0,5.0,-3.695077419281006,-3.935825347900391,"[0.8675904870033264, 0.8449553847312927]","[0.7039288282394409, 0.6073052883148193]","[0.777237594127655, 0.7066856026649475]","[1.0, 0.6666666666666666]","[0.46153846153846156, 0.3076923076923077]","[0.6315789430470914, 0.4210526272576177]","[0.6666666666666666, 0.3333333333333333]","[0.2857142857142857, 0.11764705882352941]","[0.3999999958, 0.17391303962192828]","[1.0, 0.6666666666666666]","[0.46153846153846156, 0.3076923076923077]","[0.6315789430470914, 0.4210526272576177]","[0.4934210526315789, 0.14705882352941177]","[1.2882297539194154e-231, 1.0832677820940877e-231]","[0.4886208252870131, 0.403871422804542]",0.640213468052023,0.891255967070291,0.9084798645348614,0.10990493244108829,0.6365469213487469
86,5.0,5.0,6.0,-3.137581348419189,-4.027623176574707,"[0.9043784141540527, 0.9333658218383789]","[0.7913020253181458, 0.8519733548164368]","[0.8440700173377991, 0.8908143043518066]","[1.0, 1.0]","[0.5833333333333334, 0.7777777777777778]","[0.7368421006094183, 0.8749999950781251]","[0.625, 0.875]","[0.35714285714285715, 0.6363636363636364]","[0.4545454499173554, 0.7368421003878117]","[1.0, 1.0]","[0.5833333333333334, 0.7777777777777778]","[0.7368421006094183, 0.8749999950781251]","[0.5792207792207792, 0.7485875706214691]","[1.2183324802375697e-231, 1.0244914152188952e-231]","[0.5560369395551055, 0.6470961000945457]",0.8911750234399195,0.9605927025479156,0.9643378661869983,0.7357301421077375,0.8868869036142172
87,5.0,5.0,5.0,-3.316084623336792,-4.255826950073242,"[0.915522038936615, 0.716887891292572]","[0.8391084671020508, 0.7000794410705566]","[0.8756512999534607, 0.7083839774131775]","[1.0, 0.7142857142857143]","[0.7, 0.625]","[0.8235294069204152, 0.6666666616888889]","[0.7777777777777778, 0.5555555555555556]","[0.5833333333333334, 0.5]","[0.6666666617687076, 0.5263157844875347]","[1.0, 0.5714285714285714]","[0.7, 0.5]","[0.8235294069204152, 0.5333333283555556]","[0.7947758943113953, 0.36363636363636365]","[1.3165594234639305e-231, 1.1896457329133973e-231]","[0.7895785266109574, 0.5269823782915136]",0.8726289138328437,0.9214437156914926,0.9424298042474898,0.7279197519281667,0.863931090622383
88,4.0,3.0,3.0,-3.249067068099976,-4.325519561767578,"[0.8344839215278625, 0.8336496353149414]","[0.899352490901947, 0.8774176836013794]","[0.8657047152519226, 0.8549738526344299]","[0.8, 0.8]","[1.0, 0.8888888888888888]","[0.8888888839506174, 0.8421052581717452]","[0.6666666666666666, 0.6]","[1.0, 0.8181818181818182]","[0.7999999952000001, 0.6923076874260355]","[0.8, 0.8]","[1.0, 0.8888888888888888]","[0.8888888839506174, 0.8421052581717452]","[0.9306350215441124, 0.8724279835390948]","[8.844844403089351e-232, 1.0518351895246305e-231]","[0.7092696734724105, 0.6828155879561999]",0.5616389588160619,0.42348106471643754,0.5464363055019417,0.014023458289268112,0.32798027616921577
89,5.0,3.0,4.0,-3.97525691986084,-4.007009029388428,"[0.6891269683837891, 0.7039333581924438]","[0.5539072155952454, 0.5669816136360168]","[0.6141623854637146, 0.6280785799026489]","[0.8, 0.5]","[0.42105263157894735, 0.23809523809523808]","[0.5517241334126041, 0.32258064079084287]","[0.2, 0.2]","[0.09090909090909091, 0.09523809523809523]","[0.12499999570312517, 0.12903225369406884]","[0.6, 0.3]","[0.3157894736842105, 0.14285714285714285]","[0.4137930989298454, 0.19354838272632682]","[0.3263157894736843, 0.2613922281241263]","[1.1640469867513693e-231, 1.1640469867513693e-231]","[0.22871857533870943, 0.1996914388202664]",0.8976105655691764,0.9759714733449211,0.9767283258105242,0.7427559873214467,0.898485262158964
90,4.0,6.0,6.0,-3.07654070854187,-2.912496328353882,"[0.9523880481719971, 0.9026319980621338]","[0.8530402779579163, 0.7333984971046448]","[0.8999807834625244, 0.8092623949050903]","[1.0, 1.0]","[0.7777777777777778, 0.6363636363636364]","[0.8749999950781251, 0.7777777730246914]","[0.8571428571428571, 1.0]","[0.6666666666666666, 0.5833333333333334]","[0.7499999950781251, 0.7368421006094183]","[1.0, 1.0]","[0.7777777777777778, 0.6363636363636364]","[0.8749999950781251, 0.7777777730246914]","[0.8287608596250572, 0.5769675925925926]","[1.2387197655613557e-231, 1.2508498911928379e-231]","[0.7278039488851935, 0.5652347168493144]",0.8926240575227414,0.9721975986805191,0.9768979268109925,0.8882934884041584,0.9457963379652234
91,3.0,4.0,5.0,-3.0190603733062744,-3.056062936782837,"[0.9577380418777466, 0.9468439817428589]","[0.8623297214508057, 0.8083651065826416]","[0.9075331687927246, 0.8721418380737305]","[0.875, 1.0]","[0.6363636363636364, 0.6666666666666666]","[0.7368421003878117, 0.7999999952000001]","[0.625, 1.0]","[0.45454545454545453, 0.6153846153846154]","[0.5263157845983379, 0.7619047571882087]","[0.875, 1.0]","[0.6363636363636364, 0.6666666666666666]","[0.7368421003878117, 0.7999999952000001]","[0.6955380577427821, 0.6467532467532467]","[1.2183324802375697e-231, 1.2183324802375697e-231]","[0.7243531563214773, 0.5684206128925594]",0.850038541010395,0.9705803898183696,0.9719580778090765,0.5564535854348507,0.8329973510207656
92,6.0,6.0,6.0,-3.026238441467285,-3.611128330230713,"[0.8365010023117065, 0.7472885847091675]","[0.7830745577812195, 0.7294142246246338]","[0.808906614780426, 0.7382432222366333]","[1.0, 0.45454545454545453]","[0.7333333333333333, 0.4166666666666667]","[0.8461538412721893, 0.434782603705104]","[0.6428571428571429, 0.2857142857142857]","[0.5, 0.2857142857142857]","[0.5624999950781251, 0.2857142807142858]","[1.0, 0.45454545454545453]","[0.7333333333333333, 0.4166666666666667]","[0.8461538412721893, 0.434782603705104]","[0.6411049268192124, 0.44375573921028466]","[4.693773976175812e-155, 1.1640469867513693e-231]","[0.6546758643562026, 0.5186230159601343]",0.9140136566084752,0.963211394473933,0.9702672788164266,0.5004031722575525,0.8112939485159707
93,5.0,6.0,3.0,-3.9438860416412354,-3.843005657196045,"[0.7502232193946838, 0.7803539633750916]","[0.7809659242630005, 0.790924072265625]","[0.7652859091758728, 0.785603404045105]","[0.6666666666666666, 0.6666666666666666]","[0.6666666666666666, 0.6666666666666666]","[0.6666666616666668, 0.6666666616666668]","[0.0, 0.3333333333333333]","[0.0, 0.375]","[0.0, 0.35294117148788934]","[0.4444444444444444, 0.5555555555555556]","[0.4444444444444444, 0.5555555555555556]","[0.44444443944444445, 0.5555555505555557]","[0.5267636138613863, 0.6284097797534854]","[1.1896457329133973e-231, 1.1896457329133973e-231]","[0.5869252805907679, 0.6147464101694435]",0.0057925661189119,0.779197875914201,0.6890285077561508,0.5957651909625593,0.6879971915443037
94,4.0,3.0,3.0,-5.691066265106201,-4.885702133178711,"[0.6559915542602539, 0.8065640926361084]","[0.6900769472122192, 0.8591991066932678]","[0.672602653503418, 0.8320500254631042]","[0.42857142857142855, 0.5714285714285714]","[0.375, 0.6666666666666666]","[0.3999999950222222, 0.6153846104142012]","[0.0, 0.16666666666666666]","[0.0, 0.2]","[0.0, 0.18181817685950424]","[0.2857142857142857, 0.5714285714285714]","[0.25, 0.6666666666666666]","[0.266666661688889, 0.6153846104142012]","[0.1875, 0.5090725806451614]","[1.0832677820940877e-231, 1.2882297539194154e-231]","[0.2024111940365818, 0.5950334408114132]",0.6633627133758873,0.6682976808875606,0.772617202523499,0.03353510759003664,0.49148333033369873
95,4.0,3.0,4.0,-4.565784931182861,-3.774981021881104,"[0.7892554402351379, 0.9373502731323242]","[0.7514603137969971, 0.9373502731323242]","[0.7698943614959717, 0.9373502731323242]","[0.6666666666666666, 1.0]","[0.5454545454545454, 1.0]","[0.5999999950500001, 0.999999995]","[0.125, 0.625]","[0.1, 0.625]","[0.11111110617283973, 0.624999995]","[0.5555555555555556, 0.8888888888888888]","[0.45454545454545453, 0.8888888888888888]","[0.4999999950500001, 0.888888883888889]","[0.39118246687054015, 0.968]","[1.2183324802375697e-231, 1.3483065280626046e-231]","[0.6049660047182206, 0.9161898948625522]",0.93425333741905,0.9843153104361493,0.9854877607504259,0.9528681617348733,0.9742237443071495
96,4.0,4.0,3.0,-2.5442798137664795,-3.2232043743133545,"[0.6850124597549438, 0.7169591188430786]","[0.7643694877624512, 0.8390342593193054]","[0.7225184440612793, 0.7732080221176147]","[0.5454545454545454, 0.6363636363636364]","[0.5454545454545454, 0.7777777777777778]","[0.5454545404545454, 0.6999999950500001]","[0.25, 0.4166666666666667]","[0.3, 0.625]","[0.27272726776859507, 0.4999999952000001]","[0.5454545454545454, 0.6363636363636364]","[0.5454545454545454, 0.7777777777777778]","[0.5454545404545454, 0.6999999950500001]","[0.5132113821138211, 0.6688988095238096]","[1.2183324802375697e-231, 1.2183324802375697e-231]","[0.3562142679356626, 0.6015662919177829]",0.5105137198677744,0.3986444917639849,0.3720057088910802,0.011501147405326808,0.26071711602013065
97,6.0,6.0,6.0,-3.170631170272827,-2.67875337600708,"[0.9414325952529907, 0.8842899799346924]","[0.883266270160675, 0.7397234439849854]","[0.9114223122596741, 0.8055722117424011]","[1.0, 1.0]","[0.8571428571428571, 0.5]","[0.9230769181065088, 0.6666666622222223]","[0.8, 0.6]","[0.5714285714285714, 0.2727272727272727]","[0.6666666618055556, 0.374999995703125]","[1.0, 0.8333333333333334]","[0.8571428571428571, 0.4166666666666667]","[0.9230769181065088, 0.5555555511111112]","[0.7861781076066792, 0.5118499012508229]","[1.4740564900137075e-231, 1.4740564900137075e-231]","[0.7606353260936837, 0.5112953673730363]",0.9337439478569606,0.9808035935200831,0.9829609382336507,0.9641214089866895,0.9759619802468077
98,4.0,1.0,1.0,-5.963430404663086,-5.741109848022461,"[0.6412657499313354, 0.5838016271591187]","[0.8524537682533264, 0.7931556701660156]","[0.7319304347038269, 0.6725634336471558]","[0.5384615384615384, 0.46153846153846156]","[0.7777777777777778, 0.75]","[0.6363636315289257, 0.5714285667120181]","[0.3076923076923077, 0.0]","[0.5, 0.0]","[0.3809523762358277, 0.0]","[0.38461538461538464, 0.23076923076923078]","[0.5555555555555556, 0.375]","[0.4545454497107439, 0.28571428099773244]","[0.7142857142857144, 0.4022988505747126]","[1.2183324802375697e-231, 1.1008876702055895e-231]","[0.4255282373922651, 0.3229684488971619]",0.0502768501753821,0.002018448101468794,0.014791145432328321,0.0008271052559833705,0.005878899596593496
99,5.0,6.0,6.0,-3.2202205657958984,-2.3223588466644287,"[0.936474084854126, 0.9999997615814209]","[0.8810269236564636, 0.9999997615814209]","[0.9079046845436096, 0.9999997615814209]","[1.0, 1.0]","[0.8571428571428571, 1.0]","[0.9230769181065088, 0.999999995]","[0.6, 1.0]","[0.5, 1.0]","[0.5454545404958678, 0.999999995]","[0.8333333333333334, 1.0]","[0.7142857142857143, 1.0]","[0.7692307642603551, 0.999999995]","[0.8034099715835701, 0.9985422740524781]","[1.1077199809555581e-231, 1.4740564900137075e-231]","[0.7749724279760741, 1.0]",0.916118008428901,0.9825408695553631,0.9848057582049815,0.9699942276518017,0.9791136184707154
100,4.0,4.0,5.0,-3.955478429794312,-3.7587738037109375,[0.7336397171020508],[0.8879736661911011],[0.8034624457359314],[0.625],[1.0],[0.7692307644970415],[0.5],[1.0],[0.6666666622222223],[0.625],[1.0],[0.7692307644970415],[0.7986111111111112],[1.2183324802375697e-231],[0.529291332694759],0.5679875149693289,0.9675753008600041,0.9675272678549817,0.9341998316958375,0.9564341334702745
101,5.0,6.0,6.0,-4.179141044616699,-3.279254674911499,"[0.9352822303771973, 0.7307837009429932]","[0.8163416385650635, 0.670128583908081]","[0.8717737197875977, 0.6991430521011353]","[0.8, 0.6]","[0.5, 0.42857142857142855]","[0.6153846106508877, 0.499999995138889]","[0.25, 0.0]","[0.14285714285714285, 0.0]","[0.18181817719008275, 0.0]","[0.6, 0.4]","[0.375, 0.2857142857142857]","[0.4615384568047337, 0.33333332847222225]","[0.4275862068965518, 0.21739130434782605]","[1.384292958842266e-231, 9.853445011990208e-232]","[0.6335013617027097, 0.3530386622280982]",0.9062974791798164,0.9759243612906129,0.9782553314248212,0.9487059670900175,0.9676285532684838
102,5.0,5.0,5.0,-4.032620906829834,-3.014509439468384,"[0.8617746233940125, 0.8698204159736633]","[0.7933734655380249, 0.7488409280776978]","[0.826160728931427, 0.8048095703125]","[0.8333333333333334, 0.6666666666666666]","[0.5555555555555556, 0.36363636363636365]","[0.6666666618666668, 0.4705882307266437]","[0.6, 0.2]","[0.375, 0.1]","[0.4615384568047337, 0.13333332888888905]","[0.8333333333333334, 0.5]","[0.5555555555555556, 0.2727272727272727]","[0.6666666618666668, 0.3529411719031142]","[0.5798969072164949, 0.3234782608695652]","[1.331960397810445e-231, 1.331960397810445e-231]","[0.5835055416972648, 0.4570201336851266]",0.8668030524956486,0.976445712803855,0.9786788737158917,0.9484246130578908,0.9678497331925459
103,4.0,6.0,4.0,-4.025596618652344,-3.3883514404296875,"[0.8588530421257019, 0.821631133556366]","[0.9136379957199097, 0.8087788820266724]","[0.8853989243507385, 0.8151544332504272]","[0.8, 0.8]","[0.8, 0.6666666666666666]","[0.7999999950000002, 0.7272727223140496]","[0.5, 0.5]","[0.5, 0.4]","[0.4999999950000001, 0.4444444395061729]","[0.8, 0.8]","[0.8, 0.6666666666666666]","[0.7999999950000002, 0.7272727223140496]","[0.8066666666666668, 0.6463768115942029]","[1.2967862918337585e-231, 1.2967862918337585e-231]","[0.7349025316891746, 0.5529711939053801]",0.0191977349577006,0.9199898438932966,0.8529312574677838,0.9558454151322172,0.9095888388310992
104,5.0,5.0,5.0,-3.373744249343872,-3.3890957832336426,"[0.8749856352806091, 0.7574169039726257]","[0.9369874596595764, 0.6668375730514526]","[0.9049257636070251, 0.7092469334602356]","[0.8333333333333334, 0.5]","[1.0, 0.375]","[0.9090909041322315, 0.4285714236734694]","[0.6666666666666666, 0.16666666666666666]","[0.8, 0.125]","[0.7272727223140496, 0.14285713795918387]","[0.8333333333333334, 0.5]","[1.0, 0.375]","[0.9090909041322315, 0.4285714236734694]","[0.9498207885304659, 0.45510204081632655]","[1.0032743411283238e-231, 1.1103055738259992e-231]","[0.8337793958425742, 0.39830120296895966]",0.9482470420931448,0.9698153212527255,0.9777610180832685,0.9280775951463903,0.9585513114941282
105,6.0,5.0,6.0,-2.7434849739074707,-2.7899301052093506,"[0.8189762830734253, 1.0]","[0.7580570578575134, 1.0]","[0.7873401045799255, 1.0]","[0.7777777777777778, 1.0]","[0.7, 1.0]","[0.7368421002770082, 0.999999995]","[0.5555555555555556, 1.0]","[0.45454545454545453, 1.0]","[0.4999999950500001, 0.999999995]","[0.6666666666666666, 1.0]","[0.6, 1.0]","[0.6315789423822715, 0.999999995]","[0.6545430672268908, 0.9996243425995492]","[1.1896457329133973e-231, 1.3165594234639305e-231]","[0.5136075112703501, 1.0]",0.9403393619789032,0.9618026719426412,0.9723319188200326,0.7579477929382106,0.8973607945669615
106,3.0,3.0,3.0,-2.800650119781494,-3.2993619441986084,"[0.7456066608428955, 0.79796302318573]","[0.813646674156189, 0.8403675556182861]","[0.7781421542167664, 0.818616509437561]","[0.7142857142857143, 0.7142857142857143]","[0.8333333333333334, 0.8333333333333334]","[0.7692307642603551, 0.7692307642603551]","[0.375, 0.3125]","[0.46153846153846156, 0.4166666666666667]","[0.4137930985017836, 0.357142852244898]","[0.6428571428571429, 0.6428571428571429]","[0.75, 0.75]","[0.6923076873372783, 0.6923076873372783]","[0.7403443683409436, 0.700152207001522]","[1.0244914152188952e-231, 1.1337861261109773e-231]","[0.5561761647234209, 0.5729996896802185]",0.5594388924986545,0.2566887102377077,0.44671692157863235,0.0018052539934663588,0.23507029526993542
107,6.0,5.0,5.0,-3.0132853984832764,-3.110322952270508,"[0.9358549118041992, 0.9088027477264404]","[0.9136145114898682, 0.927051305770874]","[0.9246010184288025, 0.9178363084793091]","[0.9230769230769231, 0.9230769230769231]","[0.8571428571428571, 0.9230769230769231]","[0.8888888838957477, 0.9230769180769233]","[0.6923076923076923, 0.7692307692307693]","[0.6428571428571429, 0.7692307692307693]","[0.6666666616735254, 0.7692307642307693]","[0.8461538461538461, 0.9230769230769231]","[0.7857142857142857, 0.9230769230769231]","[0.8148148098216735, 0.9230769180769233]","[0.8702348864073931, 0.9163204498720048]","[1.1008876702055895e-231, 9.257324954728539e-232]","[0.8070088836256902, 0.8595166788627737]",0.7268770959777494,0.9030372087147317,0.9336803498334256,0.13697717501822024,0.6578982445221259
108,6.0,6.0,5.0,-2.8939218521118164,-2.9679112434387207,"[0.9545292854309082, 0.9932073950767517]","[0.9545292854309082, 0.9644678831100464]","[0.9545292854309082, 0.9786266684532166]","[1.0, 1.0]","[1.0, 0.9090909090909091]","[0.999999995, 0.9523809473922903]","[0.8, 0.9]","[0.8, 0.8181818181818182]","[0.7999999950000002, 0.8571428521541952]","[0.9, 1.0]","[0.9, 0.9090909090909091]","[0.899999995, 0.9523809473922903]","[0.9814814814814815, 0.9280792420327304]","[1.1640469867513693e-231, 1.1640469867513693e-231]","[0.8932775254724546, 0.9137547043101941]",0.8594791935465508,0.9642113511043883,0.9710003649152054,0.5812532691810157,0.8388216617335363
