id,informativeness,naturalness,quality,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
10,2.0,6.0,3.0,-3.9715089797973633,-3.3246095180511475,[0.9999995827674866],[0.9999995827674866],[0.9999995827674866],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[0.996],[1.6034157163765524e-231],[1.0],0.9380312806098648,0.9727747335910422,0.9753424662229141,0.9643065327087128,0.9708079108408897
11,4.0,5.0,5.0,-3.9372949600219727,-3.194553852081299,"[0.7537755966186523, 0.7531057596206665]","[0.657747745513916, 0.6686688661575317]","[0.7024952173233032, 0.7083800435066223]","[1.0, 1.0]","[0.6666666666666666, 0.8]","[0.7999999952000001, 0.8888888839506174]","[1.0, 1.0]","[0.5, 0.6]","[0.6666666622222223, 0.7499999953125]","[1.0, 1.0]","[0.6666666666666666, 0.8]","[0.7999999952000001, 0.8888888839506174]","[0.5792207792207792, 0.635593220338983]","[1.0748016968157982e-231, 1.4488496539373276e-231]","[0.558350807591846, 0.6265396330922497]",0.8888760335416078,0.9720218168735751,0.9755932074191476,0.9643065327087128,0.9706405190004785
12,5.0,5.0,5.0,-6.992245674133301,-4.096861839294434,"[0.6290481090545654, 0.6074639558792114]","[0.5207710862159729, 0.47410547733306885]","[0.5698114633560181, 0.5325630903244019]","[0.5, 0.5]","[0.25, 0.2]","[0.33333332888888895, 0.2857142816326531]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.5, 0.5]","[0.25, 0.2]","[0.33333332888888895, 0.2857142816326531]","[0.1327433628318584, 0.08196721311475409]","[1.4488496539373276e-231, 1.2183324802375697e-231]","[0.15382522928557651, 0.09808021466255956]",0.7892010457513613,0.9089846119642139,0.9343792301692171,0.9604968354067871,0.9346202258467393
13,4.0,6.0,6.0,-2.7988502979278564,-3.133978843688965,"[0.8661595582962036, 0.916100800037384]","[0.9008832573890686, 0.9243999719619751]","[0.8831802010536194, 0.9202316403388977]","[0.625, 0.75]","[0.7142857142857143, 0.8571428571428571]","[0.6666666616888889, 0.7999999950222222]","[0.42857142857142855, 0.5714285714285714]","[0.5, 0.6666666666666666]","[0.4615384565680473, 0.6153846104142012]","[0.625, 0.75]","[0.7142857142857143, 0.8571428571428571]","[0.6666666616888889, 0.7999999950222222]","[0.6944444444444445, 0.8301839254220206]","[1.2387197655613557e-231, 1.384292958842266e-231]","[0.6173624592768279, 0.7394225126661862]",0.9379356081152296,0.9853885591633497,0.9854967747825779,0.9587532151503412,0.9765461830320895
14,5.0,5.0,6.0,-2.997471332550049,-2.684407949447632,[0.9999995827674866],[0.9999995827674866],[0.9999995827674866],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[1.0],[1.0],[0.999999995],[0.9993141289437586],[1.2387197655613557e-231],[1.0],0.9410164329361368,0.9811323945820546,0.9823183067333846,0.8882932764976299,0.9505813259376897
15,5.0,5.0,6.0,-3.3508899211883545,-3.076602935791016,"[0.8777226209640503, 1.0000001192092896]","[0.8325150012969971, 1.0000001192092896]","[0.8545212745666504, 1.0000001192092896]","[1.0, 1.0]","[0.8333333333333334, 1.0]","[0.9090909041322315, 0.999999995]","[0.8, 1.0]","[0.6666666666666666, 1.0]","[0.7272727223140496, 0.999999995]","[1.0, 1.0]","[0.8333333333333334, 1.0]","[0.9090909041322315, 0.999999995]","[0.8412698412698414, 0.9985422740524781]","[1.331960397810445e-231, 1.4740564900137075e-231]","[0.802828594927222, 1.0]",0.9295340678150568,0.9719971785270591,0.9760929104335404,0.9400065624835156,0.962698883814705
16,5.0,6.0,5.0,-4.231025695800781,-3.2718963623046875,"[0.6066736578941345, 0.8178315758705139]","[0.4813372790813446, 0.6147775650024414]","[0.5367862582206726, 0.7019144296646118]","[0.5, 1.0]","[0.18181818181818182, 0.5]","[0.26666666275555556, 0.6666666622222223]","[0.0, 1.0]","[0.0, 0.3333333333333333]","[0.0, 0.4999999962500001]","[0.5, 1.0]","[0.18181818181818182, 0.5]","[0.26666666275555556, 0.6666666622222223]","[0.1327433628318584, 0.3576923076923077]","[1.4488496539373276e-231, 1.6034157163765524e-231]","[0.23317138252189962, 0.441618924229237]",0.8027793757813552,0.9555794647604202,0.9613119447093204,0.9643065147470721,0.9603993080722709
17,3.0,6.0,6.0,-4.120231628417969,-3.214439868927002,"[0.7948744893074036, 0.7411834597587585]","[0.6058447360992432, 0.5459097027778625]","[0.6876046657562256, 0.6287333965301514]","[1.0, 1.0]","[0.5714285714285714, 0.5714285714285714]","[0.7272727226446282, 0.7272727226446282]","[1.0, 1.0]","[0.42857142857142855, 0.42857142857142855]","[0.5999999958, 0.5999999958]","[1.0, 1.0]","[0.5714285714285714, 0.5714285714285714]","[0.7272727226446282, 0.7272727226446282]","[0.5186046511627908, 0.48701298701298706]","[1.6034157163765524e-231, 9.711929667259895e-232]","[0.40083468602734207, 0.38070463242778296]",0.8582959605303979,0.9666511504312011,0.9711752884967658,0.9643065147470721,0.967377651225013
18,5.0,2.0,6.0,-2.622896432876587,-2.9758315086364746,"[0.8653619289398193, 0.7472323179244995]","[0.8175294995307922, 0.7096153497695923]","[0.8407660126686096, 0.727938175201416]","[0.6666666666666666, 0.6666666666666666]","[0.5, 0.6]","[0.5714285665306124, 0.6315789423822715]","[0.25, 0.125]","[0.18181818181818182, 0.1111111111111111]","[0.21052631091412755, 0.11764705384083066]","[0.5555555555555556, 0.3333333333333333]","[0.4166666666666667, 0.3]","[0.47619047129251707, 0.31578946869806096]","[0.43314500941619577, 0.5724489795918367]","[1.2183324802375697e-231, 1.2183324802375697e-231]","[0.4804469765619056, 0.4178122402507304]",0.9153906240779072,0.985465294294665,0.9858505006089348,0.9456430541957145,0.972319616366438
19,4.0,4.0,4.0,-3.138890266418457,-2.5038206577301025,"[0.9675241708755493, 1.0]","[0.936591386795044, 1.0]","[0.9518064856529236, 1.0]","[1.0, 1.0]","[0.8888888888888888, 1.0]","[0.9411764656055364, 0.999999995]","[0.7142857142857143, 1.0]","[0.625, 1.0]","[0.6666666616888889, 0.999999995]","[0.875, 1.0]","[0.7777777777777778, 1.0]","[0.823529406782007, 0.999999995]","[0.8691856840004989, 0.9993141289437586]","[1.2387197655613557e-231, 1.2387197655613557e-231]","[0.7912368474170584, 1.0]",0.9384648426708015,0.9803610652422542,0.9821701674621439,0.9633737139802995,0.9753016488948992
