id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
37_Nucleus Decoding (p = 0.7),0.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,-4.643070697784424,-5.224416732788086,[0.6364837884902954],[0.5646142959594727],[0.5983988642692566],[0.5263157894736842],[0.3448275862068966],[0.4166666618836806],[0.25],[0.15151515151515152],[0.1886792405838378],[0.47368421052631576],[0.3103448275862069],[0.3749999952170139],[0.309095963808224],[1.012071042130996e-231],[0.09086980715717485],0.0379697230102372,0.03695553763385501,0.041796196973960226,0.1531760813649518,0.07730927199092234
37_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-3.753394603729248,-4.617303371429443,[0.4983885586261749],[0.5648359656333923],[0.5295358896255493],[0.24489795918367346],[0.41379310344827586],[0.30769230302103884],[0.09259259259259259],[0.15151515151515152],[0.11494252402695224],[0.16326530612244897],[0.27586206896551724],[0.20512820045693633],[0.3155276675986735],[9.336117803135294e-232],[0.06966912064014064],0.4249360950686736,0.8066131854215515,0.46311192101401344,0.8744939081735307,0.7147396715363653
38_Argmax Decoding,0.3333333333333333,1.3333333333333333,2.333333333333333,1.6666666666666667,0.0,2.333333333333333,-1.9392509460449217,-2.8962855339050293,[0.45709389448165894],[0.4975491762161255],[0.47646433115005493],[0.29411764705882354],[0.2777777777777778],[0.2857142807183674],[0.14285714285714285],[0.16666666666666666],[0.1538461488757398],[0.29411764705882354],[0.2777777777777778],[0.2857142807183674],[0.176303317535545],[1.016127520387007e-231],[0.14512118031601595],0.1387523143739436,0.0013236677054253485,0.003759981806392437,0.0016174975017122172,0.0022337156711766675
38_Nucleus Decoding (p = 0.3),0.0,1.3333333333333333,2.333333333333333,2.6666666666666665,0.3333333333333333,2.333333333333333,-2.7044460773468018,-3.539607048034668,[0.480605810880661],[0.5759710073471069],[0.5239846706390381],[0.5],[0.5],[0.4999999950000001],[0.11538461538461539],[0.16666666666666666],[0.1363636315289258],[0.3888888888888889],[0.3888888888888889],[0.3888888838888889],[0.33972602739726027],[9.594503055152632e-232],[0.18287535147806322],0.7918047146194505,0.009654748338769463,0.026890404424083067,0.0025115887710202255,0.013018913844624252
38_Nucleus Decoding (p = 0.5),0.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.0,1.3333333333333333,-2.710516452789306,-3.837900400161743,[0.6033867001533508],[0.6133666038513184],[0.6083357334136963],[0.45],[0.5],[0.47368420554016627],[0.20833333333333334],[0.2777777777777778],[0.23809523319727902],[0.2],[0.2222222222222222],[0.21052631080332423],[0.49065233089946253],[9.594503055152632e-232],[0.28338285368297844],0.230018018773578,0.10709924743903852,0.10683417487539294,0.008633172498793716,0.07418886493774172
38_Nucleus Decoding (p = 0.7),1.0,3.0,3.0,2.333333333333333,0.0,3.333333333333333,-2.6730122566223145,-4.031106472015381,[0.5486031770706177],[0.5583757758140564],[0.553446352481842],[0.2],[0.16666666666666666],[0.18181817685950424],[0.058823529411764705],[0.05555555555555555],[0.05714285214693921],[0.2],[0.16666666666666666],[0.18181817685950424],[0.2542841348811498],[1.1200407237786664e-231],[0.15730692069734797],0.2731402566902711,0.5436245669143404,0.297101680872581,0.8304895548776148,0.557071934221512
38_New Human Generated,1.0,3.0,3.0,3.0,1.0,5.0,-3.509305953979492,-4.447991371154785,[0.5455971956253052],[0.6011176109313965],[0.5720133781433105],[0.25],[0.4444444444444444],[0.319999995392],[0.0625],[0.1111111111111111],[0.07999999539200027],[0.09375],[0.16666666666666666],[0.1199999953920002],[0.3216222452982577],[8.972141065609098e-232],[0.10117748970533735],0.4961294829288598,0.36028494369927005,0.26093556072009616,0.9064004618164643,0.5092069887452768
39_Argmax Decoding,1.0,2.6666666666666665,3.0,2.6666666666666665,1.0,4.333333333333333,-2.6901683807373047,-3.492067575454712,[0.5571081638336182],[0.6020801067352295],[0.5787217617034912],[0.2222222222222222],[0.25],[0.23529411266435996],[0.05],[0.0625],[0.05555555061728439],[0.2222222222222222],[0.25],[0.23529411266435996],[0.30776826859776174],[9.788429383461836e-232],[0.22814593509468983],0.3427612663949004,0.20649103134736743,0.36910270822875113,0.7412897961186058,0.4389611785649081
39_Nucleus Decoding (p = 0.3),0.6666666666666666,2.0,2.6666666666666665,2.6666666666666665,1.0,3.333333333333333,-2.457117319107056,-2.7282955646514893,[0.5801206827163696],[0.6589667797088623],[0.6170351505279541],[0.2631578947368421],[0.3125],[0.28571428075102046],[0.08333333333333333],[0.125],[0.09999999520000023],[0.21052631578947367],[0.25],[0.22857142360816338],[0.37161044973544965],[1.0518351895246305e-231],[0.144172326057039],0.3274844419287606,0.8814116981406345,0.7798937562138881,0.9224054544702724,0.861236969608265
39_Nucleus Decoding (p = 0.5),0.0,1.0,2.333333333333333,1.6666666666666667,0.0,2.0,-3.117236375808716,-3.876690626144409,[0.48245769739151],[0.5297651886940002],[0.505005955696106],[0.15384615384615385],[0.25],[0.19047618575963732],[0.0],[0.0],[0.0],[0.15384615384615385],[0.25],[0.19047618575963732],[0.1530612244897959],[1.0669733992029681e-231],[-0.029408259682155213],0.231884800256787,0.5572946381325473,0.7176869273643829,0.8654597328186769,0.713480432771869
