id,Understandable,Natural,Maintains Context,Engaging,Uses Knowledge,Overall,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
43_Language Model,1.0,2.6666666666666665,2.333333333333333,2.333333333333333,0.0,3.0,-3.9641361236572266,-4.900274276733398,[0.5184437036514282],[0.3931029438972473],[0.4471559524536133],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[1.1640469867513693e-231],[0.027251490718984583],0.0207201161242572,0.291647105835442,0.34941984486757144,0.9544831510058738,0.5318500339029625
43_New Human Generated,1.0,3.0,3.0,2.6666666666666665,1.0,5.0,-4.095316886901856,-5.206199645996094,[0.4606742560863495],[0.4160560369491577],[0.43722978234291077],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0],[0.00935218208395705],0.8011050771688472,0.4233415327437578,0.5954427897409912,0.6599299310160465,0.5595714178335985
44_KV-MemNN,1.0,2.6666666666666665,2.6666666666666665,2.6666666666666665,0.0,3.333333333333333,-5.054281234741211,-5.061285495758057,[0.5370299816131592],[0.49536406993865967],[0.5153562426567078],[0.1111111111111111],[0.07692307692307693],[0.09090908607438043],[0.0],[0.0],[0.0],[0.1111111111111111],[0.07692307692307693],[0.09090908607438043],[0.0617283950617284],[1.2508498911928379e-231],[-0.0020724848743580715],0.2940625590708419,0.2977992031202357,0.34035386750272234,0.6447122342954394,0.4276217683061325
44_Seq2Seq,1.0,3.0,2.333333333333333,2.333333333333333,1.0,4.0,-2.9863734245300293,-3.1810052394866943,[0.5204641819000244],[0.4531410336494446],[0.48447495698928833],[0.1111111111111111],[0.07692307692307693],[0.09090908607438043],[0.0],[0.0],[0.0],[0.1111111111111111],[0.07692307692307693],[0.09090908607438043],[0.06134969325153374],[1.3483065280626046e-231],[-0.07506571969091014],0.4090910730197993,0.8606610813086369,0.9101430399994731,0.9158632812155115,0.8955558008412071
44_Language Model,1.0,2.333333333333333,3.0,2.6666666666666665,0.0,3.333333333333333,-2.5013697147369385,-2.986954689025879,[0.6459141969680786],[0.5872084498405457],[0.6151639819145203],[0.23076923076923078],[0.23076923076923078],[0.2307692257692309],[0.0],[0.0],[0.0],[0.23076923076923078],[0.23076923076923078],[0.2307692257692309],[0.2538029100529101],[1.1008876702055895e-231],[0.2115912232452265],0.0018445775444756,0.35894559602084625,0.25603604457410606,0.9591250089812419,0.5247022165253981
44_New Human Generated,1.0,3.0,3.0,2.6666666666666665,1.0,5.0,-3.266244649887085,-3.8033323287963854,[0.626534104347229],[0.6210635304450989],[0.6237868070602417],[0.21428571428571427],[0.23076923076923078],[0.22222221722908106],[0.0],[0.0],[0.0],[0.21428571428571427],[0.23076923076923078],[0.22222221722908106],[0.14705882352941177],[1.0669733992029681e-231],[0.2678836541203119],0.1386727785697638,0.42890279356914335,0.3302605725141086,0.8965228657395641,0.5518954106076054
45_KV-MemNN,1.0,3.0,3.0,2.6666666666666665,0.0,4.333333333333333,-4.037820816040039,-3.765719413757324,[0.47647830843925476],[0.4623622000217438],[0.4693141281604767],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.04347826086956522],[9.109159947227211e-232],[-0.057058142893182895],0.2090034151935315,0.6367056818809035,0.565977455709222,0.33529380999313224,0.5126589825277525
45_Seq2Seq,1.0,2.333333333333333,3.0,2.6666666666666665,0.6666666666666666,4.0,-2.6855452060699463,-2.2681868076324463,[0.5427148342132568],[0.48035794496536255],[0.5096361041069031],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.04504504504504504],[1.1640469867513693e-231],[0.1252751503702091],0.5507418608474564,0.8843666139762216,0.8991375677326715,0.945739568859594,0.9097479168561623
45_Language Model,1.0,3.0,1.3333333333333333,2.6666666666666665,1.0,3.333333333333333,-3.405221939086914,-3.0303964614868164,[0.5104997158050537],[0.45740118622779846],[0.4824939966201782],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.046296296296296294],[1.0518351895246305e-231],[0.009660444138722135],0.0163455167096144,0.6779689637947298,0.4883254963277895,0.9451881443068729,0.7038275348097974
45_New Human Generated,1.0,2.6666666666666665,3.0,2.6666666666666665,1.0,4.666666666666667,-3.428242444992065,-3.8954925537109375,[0.5247604250907898],[0.5635586977005005],[0.5434679985046387],[0.13333333333333333],[0.2],[0.15999999520000013],[0.0],[0.0],[0.0],[0.13333333333333333],[0.2],[0.15999999520000013],[0.17094017094017094],[8.844844403089351e-232],[0.07856746142400628],0.1725066308051297,0.6722593100103768,0.6897177407684545,0.9626040584071376,0.7748603697286564
