,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
QAGS_CNN-consistency,0.6802926519816688,0.6601963841968943,0.12296168857738785,0.5073204281092073,0.47916486887054366,0.20783874041535755,0.2512716157658835,0.2602387629039052,0.20370171094965725,0.5827229673113852,0.5637971874480466,0.1739370452210167,0.3257066815776824,0.29831103058184594,0.22789971091911793,0.3525297961891702,0.3251264084563452,0.22256049412305248,0.36099843207200727,0.3380643423511187,0.23775822425980936,0.4182935226638168,0.38780496319079427,0.2367567210080152,0.5747114256814787,0.5688692842186742,0.144002825279098,0.6330290990176493,0.6268861016108997,0.13583687934580482
QAGS_XSUM-consistency,0.15895941981003772,0.17109389568255753,0.2136004739921069,-0.05739527142759378,-0.046337709559924646,0.2152984058336939,0.18016261231991892,0.17278915489968955,0.21290860271331052,0.0811785128648208,0.08875327247683815,0.22114447877012572,-0.01504654050110281,0.0017591783678479335,0.243181091847948,-0.02062832165473772,-0.029019775441829303,0.221344803741609,0.011527599112623627,0.024264210138695518,0.23830475875588497,0.12862365267071757,0.13835541750448238,0.23510176465399976,0.3685188992084616,0.3789538818928267,0.20259386199264826,0.343643570154219,0.3598153732777309,0.21131926119382516
SFHOT-consistency,0.22223037047406183,0.2326464761849054,0.20542407332210685,0.22053997608120893,0.20261891264419263,0.20025212594800687,-0.06585906005724226,-0.08743396658680222,0.22511742076635716,0.21889040879871496,0.2157338530755719,0.20790970948436344,0.06913904935030064,0.06340624956717161,0.20241974112223962,0.20063714531096602,0.1942950220817843,0.2162132333035591,0.10210486680909116,0.10764792247171787,0.19226136232987007,0.08925078774388183,0.09848188738642792,0.2110547520190775,0.18488857392789912,0.18514134448087227,0.2133846319666063,0.27044100655198744,0.2930192321189079,0.19758196226677846
SFRES-consistency,0.2535052567279331,0.268108304514965,0.2237455613208604,0.1847127827293991,0.21921728463397372,0.20917487475987598,-0.039485216043777145,-0.04977833059493033,0.20972478192917404,0.2710261436584351,0.2993054976745315,0.2097212162539056,0.17515993725746531,0.1768758791993488,0.2059157925523857,0.17246517581595652,0.1898445958443482,0.21682907508057542,0.11643020424808266,0.1318812687882223,0.23310236911378127,0.11016830783868366,0.14299407663354205,0.2278688626096672,0.23801059689115484,0.23884252231296732,0.2153111477519372,0.2829724633874371,0.2781019634746021,0.1884172995141562
SummEval-consistency,0.3339253048084403,0.34648520785477643,0.21907309897172342,0.1999619491304202,0.217151079818958,0.22079822600516522,0.05591098640005875,0.06241307564351799,0.2277470743540912,0.3547440309370872,0.3680476895539159,0.21481073670160797,0.1521542641685591,0.14077522540836773,0.228500719321249,0.14586491837989954,0.16327063267056086,0.2306022013923471,0.0810456268061368,0.08682331002612083,0.2267098160330713,0.06839205577799559,0.060468114352373925,0.22970659697438542,0.4152495894005675,0.41511049790511295,0.17359914017077638,0.4286645112441002,0.43335159226079356,0.17300930441836193
usr_persona_mean-consistency,-0.018832204545314382,-0.005010151315512534,0.20090384990261362,0.10210694405642044,0.06499402091675434,0.21258802871241733,-0.03779654695588878,-0.04636180671044991,0.2246931694849719,-0.09885646959406054,-0.07965283525583833,0.2258587851089606,0.10633809465646275,0.1289779900659523,0.22549199796970015,0.06869136264683662,0.01557517662682392,0.2131547466180232,0.04753440423237038,0.05119714620519361,0.24565903137309433,0.05201726522444141,0.03973433044354406,0.23784464236879502,0.06340565549140703,0.030201244108572625,0.23096152534141848,0.04991100207524146,0.014128002007086644,0.2460360124757476
usr_topic_mean-consistency,-0.1254248556688746,-0.1334763131288496,0.22287368018323694,0.3619602703570624,0.35944671435219866,0.19914013933736127,-0.026216239684071697,-0.04181916652183749,0.18752713540165117,-0.18873128942928036,-0.1942662434024702,0.2296882710276083,0.3523536264800139,0.31987265588782177,0.2154197017467709,0.26145043247810923,0.2587805881207416,0.213410022880825,0.251382122054609,0.24239545360154743,0.2303642740447371,0.23996676168909012,0.2471627393294159,0.18103823719568984,0.1812293684341823,0.16651927725064447,0.23038037825776267,0.1268288696757091,0.10460945572882827,0.26414203148707543
