,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
Newsroom-coherence,0.6229352957318569,0.5940003482631913,0.15794506136413475,0.22060549320024037,0.22796359012277922,0.23451352974025377,0.22919860417084967,0.18639770520965232,0.23292048226744208,0.5953029524594675,0.5581802514636832,0.1683472985004132,0.18096253304209764,0.1743348767142824,0.23190691678038794,0.027361331765834915,0.05649528185591365,0.2343299995600494,0.06922457256710894,0.0828712235584788,0.22240106279088476,-0.07319427148577841,-0.08209629755678945,0.20385998937396313,0.4581285925866393,0.4543882850929333,0.17716027095926723,0.4864944706799781,0.4801535507748886,0.1729325418401415
SummEval-coherence,0.40774867046230034,0.39029202854792316,0.19594014828680617,0.3331269300480893,0.2998678025069323,0.19676734587989947,0.06532052160932343,0.06542611813993487,0.21647830477697796,0.41244468688120345,0.4099137743881567,0.20330709187293258,0.1344249818252241,0.08353866955760038,0.22889409215020035,0.15432722997950005,0.10504262159019673,0.2332619492308705,0.18020644758952173,0.15556021103758183,0.22487471084515026,0.1531553851751766,0.12847136095292033,0.22944799024666016,0.5918103119993195,0.5567045005194459,0.15782849499583693,0.5380727298228339,0.5219344015516204,0.16666742954789046
usr_persona_mean-coherence,0.005542268437284099,0.017261987232482207,0.18051725090130272,0.2599334455536839,0.2528189920374933,0.2237669374506328,-0.06501933481949547,-0.13845097205938567,0.21814062331140052,0.0463116596337722,0.04888789646253088,0.20857700362207157,0.18011245657041555,0.15948641432848978,0.20449343877459616,0.21847821413146054,0.2072706295212745,0.22650932524572387,0.07079797715153155,0.05144469182209165,0.23970188827363376,0.04972446724287222,0.045898232113099,0.2144690969527434,0.22138913305474542,0.21229129368752164,0.18719677275907617,0.1851842059576457,0.18142467631308648,0.1879478858688965
usr_topic_mean-coherence,0.045976225305318294,0.024141974897987178,0.21099669220015296,0.30850970480489476,0.30239260589073125,0.18045057402728407,0.07243877987608183,0.11739477205637198,0.23698391657321913,0.07206048171892111,0.06354202320035184,0.20323769765129782,0.27994607419207646,0.2579574544768633,0.22369062618662092,0.2271017618464139,0.23060686510449915,0.21127887798457623,0.1916987626212816,0.1824134125846515,0.22661284783746816,0.17192937517852108,0.18757121063906357,0.18139753424864155,0.38018491466883014,0.3490162297789234,0.20004999524847,0.2955569101013108,0.2420637755521759,0.22615512263295628
