,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
BAGEL-fluency,0.2406628557175005,0.24354102476101275,0.24042650109938807,0.24751234036673267,0.24812585919753213,0.2265841362928973,0.14176293951578045,0.12197960239678056,0.20931565587591375,0.15226573309401953,0.19983694579821346,0.21878185833769673,0.10944999092648897,0.07933753909647798,0.24313477023525373,0.18764021481375334,0.16932825610057425,0.2461205169540315,0.11740854182722657,0.10017353576032012,0.2290002967615859,0.15402556685404786,0.13552944507540163,0.21186200731513324,0.28205303760255446,0.29283964982461647,0.2343877870726678,0.30858356509783424,0.3129542996357171,0.22216073652526336
Newsroom-fluency,0.5963009342511186,0.5911223180052309,0.16379381189895553,0.18164220592900263,0.15978012844995493,0.2325951222392962,0.19487928911293356,0.1812275662427864,0.2427651646949316,0.5649392843366718,0.5601234862919262,0.1562795940582457,0.14177546672472965,0.09768586013870804,0.22820295435025917,-0.001632802581401897,-0.00735466560582261,0.22838591046153928,0.03808443233973177,0.016825143545324973,0.25273186795757435,-0.08790877459411783,-0.10136699291609041,0.21071252741777877,0.48611187066849953,0.4669158773825394,0.1822176488193264,0.5157640092246609,0.5073591157823303,0.1793171783224619
SFHOT-fluency,0.16358886335719694,0.14388685539386897,0.2444522345997206,0.1635293408709416,0.1771474380756702,0.2018375588248795,-0.011598547897426242,-0.03690500638460756,0.23003418623433977,0.1349661628536634,0.10482280467430845,0.248225173343635,0.014714752500923328,0.02435400813553636,0.20932004047158378,0.1551331655462044,0.16924226675066742,0.20584471385987804,0.03876300759824146,0.03491127926141057,0.2198682630322555,0.04333812661927137,0.06461843579628834,0.2211748127235292,0.13805676724289517,0.11199735825861465,0.251520283257404,0.323592281441144,0.32728561466469985,0.22062145855738877
SFRES-fluency,0.22571917925222545,0.1885124659201243,0.22474081553178604,0.18378707679413353,0.16958542253073422,0.24109480318077275,-0.05534461679685287,-0.06535058895028209,0.23929175137119663,0.2285375662863524,0.19957978971701656,0.21193370503983974,0.14318136068523912,0.12881507324310051,0.2262724068972342,0.15465694593083348,0.141932930207221,0.23288398228925442,0.07979930662826597,0.06982411238229967,0.23284003183072033,0.08259558907692972,0.06801179366289539,0.23183532123863526,0.1534147039694144,0.11717939699836709,0.24188136983417682,0.3229935910986521,0.29569055983704917,0.21809699264173846
SummEval-fluency,0.2845264406940739,0.2998546824860347,0.2326495778157416,0.19350845000948708,0.2331279565404504,0.19655613237384656,0.009878559718471883,0.024419668483051948,0.23363039501688632,0.28846986771093,0.30152613488226454,0.2359539572803061,0.09040382936143503,0.10878265816229156,0.22783261028771598,0.12219192646314848,0.13598255904406223,0.21836117139189357,0.05745764295763354,0.08252436313884547,0.22184671597847577,0.04318571587854261,0.0689860630482004,0.2244361483787493,0.3457092086144479,0.33070530335917053,0.22716703716760872,0.433569247868926,0.4093500427809979,0.2351175647520641
usr_persona_mean-fluency,0.0337071933891842,0.053646264417936775,0.22009797871378511,0.32208320715028194,0.33402638834496334,0.17966899712202825,-0.07251820263413328,-0.08236884085739087,0.2074744228393333,-0.03013582993188931,0.0028402292230115173,0.23129385493928215,0.05348765404335474,0.09190306947966086,0.19813667882339442,0.11406363505186635,0.12761945691559978,0.20489607437102722,0.013871232820051071,0.04504033748059606,0.19449029782842925,0.05453662002895054,0.013764498686261976,0.19425527899858214,0.3616248666923576,0.375863975364673,0.17665868033241605,0.36726734596040655,0.36672527372295094,0.18933080483277898
usr_topic_mean-fluency,0.02656993177838867,0.04163339565007874,0.21417487883093464,0.29246027050425244,0.27567057845166815,0.18584131993331485,0.04084067092075634,0.022657330649831425,0.2286446982094597,0.08741933748040605,0.11170177807770706,0.22872337788359293,0.2064644294493807,0.22092496679949802,0.18771013430518116,0.14917924630444127,0.1450723627910172,0.20960917525647774,0.11754092315838595,0.12894131134045858,0.20290371057265688,0.14557043527652871,0.14904660911770123,0.22823446337567846,0.4249353211102196,0.3938677956835923,0.18530256022736943,0.3946803520797058,0.3741467030542118,0.1768856912478865
webnlg-fluency,0.330499815434963,0.3295384232401045,0.22688462008029778,0.49928006929732527,0.47659026233521984,0.1820178386145515,-0.0717373223701032,-0.08941843835056977,0.24403327921023987,0.07186694664231645,0.05796924869652827,0.2518555671564167,0.3316233483705551,0.34363614363968387,0.19427803592727266,0.42882494121238485,0.40838558835420385,0.19406514444590564,0.2627576015483032,0.25779036635534447,0.20547278659471613,0.27853185288161525,0.28970661311687634,0.216859334279781,0.48019047660044895,0.47549348044610296,0.17961065772858248,0.5651140323020304,0.5554508103979163,0.18428565595167348
