,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
BAGEL-fluency,0.2406628557175005,0.25469371010601216,0.13684459654456105,0.24751234036673267,0.2475507963614989,0.12769976952145237,0.14176293951578045,0.11283082623353527,0.11896030075773185,0.15226573309401953,0.1620458441692018,0.13300298874125951,0.10944999092648897,0.11342129210631391,0.13880094984346097,0.18764021481375334,0.18823863454614098,0.13432379798769664,0.11740854182722657,0.12929042316779812,0.12837594658673668,0.15402556685404786,0.15555905873311868,0.12927356295485853,0.28205303760255446,0.30094507697972206,0.12878714523346635,0.30858356509783424,0.31573720956727974,0.12881004324330816
Newsroom-fluency,0.5963009342511186,0.5959914578916348,0.10413360730423847,0.18164220592900263,0.18044399654688448,0.14130361705760897,0.19487928911293356,0.2133965360694173,0.12802905344191323,0.5649392843366718,0.5693848555566153,0.10693986662954365,0.14177546672472965,0.14586336636640132,0.13650446267645758,-0.001632802581401897,-0.016183985725324212,0.13260345263620793,0.03808443233973177,0.035309260320731145,0.13442153541321786,-0.08790877459411783,-0.08814553794064035,0.13752561619250817,0.48611187066849953,0.49936500888557794,0.11001757469835477,0.5157640092246609,0.5289323076813148,0.09841065536359779
SFHOT-fluency,0.16358886335719694,0.15142617960692728,0.13302064393065227,0.1635293408709416,0.160513069826149,0.13190443592288556,-0.011598547897426242,-0.03714628684315653,0.1356219134059144,0.1349661628536634,0.12175473411008211,0.1384965141521561,0.014714752500923328,0.017766574361726673,0.13717483333257727,0.1551331655462044,0.15584069390637434,0.13797531335804988,0.03876300759824146,0.03295444419822866,0.12871410298005503,0.04333812661927137,0.04424729970072306,0.14254446698755197,0.13805676724289517,0.1565134760817809,0.14703582956054728,0.323592281441144,0.3346257476136151,0.13108915365686527
SFRES-fluency,0.22571917925222545,0.23173780979919723,0.1362932243624314,0.18378707679413353,0.20625909684686536,0.14753292735224766,-0.05534461679685287,-0.06783248131764205,0.14812145607148727,0.2285375662863524,0.2361635468214286,0.130379326991103,0.14318136068523912,0.15761493578273078,0.148323334494877,0.15465694593083348,0.17008310345699765,0.14636224083183977,0.07979930662826597,0.09740377055603025,0.14336184988728357,0.08259558907692972,0.1033491059688632,0.14383901619326508,0.1534147039694144,0.17316132159567751,0.13901731554000205,0.3229935910986521,0.35154765965295864,0.14302926972175764
SummEval-fluency,0.2845264406940739,0.28651879098383054,0.11745761349932429,0.19350845000948708,0.19886431577922903,0.12797105732068884,0.009878559718471883,0.011395911719916482,0.132383124251504,0.28846986771093,0.28078508619790665,0.12739341979402632,0.09040382936143503,0.106283030106643,0.1441938449034788,0.12219192646314848,0.12403768061387996,0.13839520427560253,0.05745764295763354,0.08349382324698507,0.13558996999734563,0.04318571587854261,0.06541352802219101,0.1424742313165122,0.3457092086144479,0.33892136663750627,0.11193399826456953,0.433569247868926,0.4158518351349785,0.11386294485656752
usr_persona_mean-fluency,0.0337071933891842,0.03432913493353475,0.11479475058615957,0.32208320715028194,0.33415876974109227,0.12538207265976115,-0.07251820263413328,-0.04130326938175398,0.12206278843434692,-0.03013582993188931,-0.030346552440449856,0.11753975903908669,0.05348765404335474,0.060031287899234745,0.11038866710575482,0.11406363505186635,0.11631708732536884,0.12674060723808775,0.013871232820051071,0.01629097520971798,0.12247707706646595,0.05453662002895054,0.05042047807757592,0.11547299820186058,0.3616248666923576,0.36689965941180636,0.11397579535636737,0.36726734596040655,0.36558731799150673,0.11388730186671647
usr_topic_mean-fluency,0.02656993177838867,0.010289056961218467,0.12498608917926662,0.29246027050425244,0.29546095097698444,0.11404865798816372,0.04084067092075634,0.010179723833891392,0.1414018696957185,0.08741933748040605,0.06652760507630368,0.13343959788957466,0.2064644294493807,0.2012400431839903,0.12735698285446867,0.14917924630444127,0.1369681427503577,0.13021724160026704,0.11754092315838595,0.12400700547117913,0.12790639982051463,0.14557043527652871,0.13377764759676578,0.1298103972640802,0.4249353211102196,0.4276999918659098,0.10195073927704609,0.3946803520797058,0.3945526255143558,0.10158529476349211
webnlg-fluency,0.330499815434963,0.3389838236719851,0.13461408590855808,0.49928006929732527,0.49549410717344883,0.11111669022338648,-0.0717373223701032,-0.06348770669413505,0.14752330323428206,0.07186694664231645,0.06883178412177657,0.16345672223315894,0.3316233483705551,0.32580052784118996,0.13206700273571517,0.42882494121238485,0.42526484193996156,0.1199343985008245,0.2627576015483032,0.2618008439002192,0.14861900110226708,0.27853185288161525,0.27406929855204115,0.1467446413857477,0.48019047660044895,0.480928407067964,0.11750425756068911,0.5651140323020304,0.5665807853778162,0.09188124219026238
