,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
Newsroom-coherence,0.6229352957318569,0.6204320390217147,0.08718447518703087,0.22060549320024037,0.21913198610391618,0.12622305055878436,0.22919860417084967,0.215975654127215,0.14903480134333025,0.5953029524594675,0.5934071721226443,0.08233648281443808,0.18096253304209764,0.18047657352006816,0.12605675778604805,0.027361331765834915,0.030547601292333356,0.1501858070908664,0.06922457256710894,0.06359969556942784,0.14637682528630983,-0.07319427148577841,-0.06804700667780123,0.14010708905405225,0.4581285925866393,0.44981484186074644,0.10907354946192521,0.4864944706799781,0.477077715146983,0.10512065589746883
SummEval-coherence,0.40774867046230034,0.37929136769624144,0.11662501605604701,0.3331269300480893,0.3158284775676834,0.12751632990749756,0.06532052160932343,0.08253508478349338,0.1383245359305405,0.41244468688120345,0.4094727410451115,0.11734586020828781,0.1344249818252241,0.13802323250263165,0.15823609418360157,0.15432722997950005,0.14325941298239026,0.14189711267273603,0.18020644758952173,0.1796713003713124,0.1441291854822819,0.1531553851751766,0.14535336437687105,0.13664189492033077,0.5918103119993195,0.5695953538666454,0.10122954716286015,0.5380727298228339,0.5116006013555758,0.1044311899019181
usr_persona_mean-coherence,0.005542268437284099,0.01327814878683762,0.12798700395173573,0.2599334455536839,0.27297254348022243,0.1126538579318145,-0.06501933481949547,-0.06870955168602602,0.13883827736456772,0.0463116596337722,0.04608147568870995,0.12078059640573334,0.18011245657041555,0.17917849080557668,0.1237790774364227,0.21847821413146054,0.22974346462739,0.10149518991709797,0.07079797715153155,0.07215439904261453,0.12905727424193056,0.04972446724287222,0.06769478974359934,0.11213748617900027,0.22138913305474542,0.2251656415992965,0.1193380173804708,0.1851842059576457,0.1816367006818015,0.12140273234810386
usr_topic_mean-coherence,0.045976225305318294,0.04691250708150564,0.11813279815729048,0.30850970480489476,0.29739012486504723,0.12929362839577874,0.07243877987608183,0.08222033879256109,0.13928705246490064,0.07206048171892111,0.07748278643850878,0.12152418254205714,0.27994607419207646,0.26642398799160594,0.1378237345709086,0.2271017618464139,0.232239749694482,0.12380117125964667,0.1916987626212816,0.18571270929747674,0.13728298132186795,0.17192937517852108,0.17637018908264554,0.12339694375636254,0.38018491466883014,0.3741331072324684,0.09908759610302796,0.2955569101013108,0.28513898385966163,0.1137367190246517
