,BARTScore-all,BARTScore-mean,BARTScore-std,BERTScore-all,BERTScore-mean,BERTScore-std,Bleu-all,Bleu-mean,Bleu-std,GPTScore-all,GPTScore-mean,GPTScore-std,Meteor-all,Meteor-mean,Meteor-std,MoverScore-all,MoverScore-mean,MoverScore-std,Rouge-1-all,Rouge-1-mean,Rouge-1-std,Rouge-2-all,Rouge-2-mean,Rouge-2-std,UniEval_COH-all,UniEval_COH-mean,UniEval_COH-std,UniEval_all-all,UniEval_all-mean,UniEval_all-std
QAGS_CNN-consistency,0.6802926519816688,0.6669064579111027,0.07481902737436337,0.5073204281092073,0.5070076136406741,0.1066707882407843,0.2512716157658835,0.24472526986442236,0.11837761978533402,0.5827229673113852,0.5610989608455885,0.09056207569778085,0.3257066815776824,0.3161504411909633,0.12702697817226088,0.3525297961891702,0.34942072368987614,0.12214312906006117,0.36099843207200727,0.3575372231284711,0.12146640391518884,0.4182935226638168,0.41537570040935795,0.11342934354385824,0.5747114256814787,0.5526831260617561,0.08066450140942726,0.6330290990176493,0.6099458548194922,0.08113172818775165
QAGS_XSUM-consistency,0.15895941981003772,0.13203144049194054,0.13792946813605325,-0.05739527142759378,-0.05872818541782983,0.1238069009005862,0.18016261231991892,0.18074212141225562,0.11857596261048617,0.0811785128648208,0.06076638510115963,0.1427964705502048,-0.01504654050110281,-0.0048632728239507575,0.11611494105936533,-0.02062832165473772,-0.004341807695688568,0.12250191437076692,0.011527599112623627,0.023320123600961667,0.12026924591858669,0.12862365267071757,0.13509772984113216,0.13377388330672457,0.3685188992084616,0.36282981081073834,0.10429325025109275,0.343643570154219,0.3400570024641838,0.10581762776894371
SFHOT-consistency,0.22223037047406183,0.22041933819346865,0.1354932008479783,0.22053997608120893,0.22522948155592584,0.13565777496912912,-0.06585906005724226,-0.0703781298544704,0.11287517635033605,0.21889040879871496,0.22775638726211792,0.13426842309011852,0.06913904935030064,0.07979799950520242,0.13061937095890824,0.20063714531096602,0.20214679201092944,0.13696640662262474,0.10210486680909116,0.09619127755738206,0.13035838649724077,0.08925078774388183,0.0808528736775233,0.1336832605832722,0.18488857392789912,0.18849425622036695,0.1529268436188804,0.27044100655198744,0.26580385436499077,0.11832082697960615
SFRES-consistency,0.2535052567279331,0.25143529926326574,0.12536533975559003,0.1847127827293991,0.1933169784357998,0.15376325940933516,-0.039485216043777145,-0.01215173952400626,0.13387906313133507,0.2710261436584351,0.2586166026383599,0.11986607811223458,0.17515993725746531,0.17630188735509808,0.138233588235155,0.17246517581595652,0.17640668774345883,0.1438748870919906,0.11643020424808266,0.12691896166640423,0.15140174413546903,0.11016830783868366,0.12145526684310273,0.15520540014284684,0.23801059689115484,0.24263966736763315,0.12317628508761014,0.2829724633874371,0.271594812239666,0.11753030054457922
SummEval-consistency,0.3339253048084403,0.29864783326501987,0.12831147053426806,0.1999619491304202,0.17586373959908153,0.16272698636249475,0.05591098640005875,0.053271425245829535,0.14120531763729885,0.3547440309370872,0.3254167466309496,0.11442832779190645,0.1521542641685591,0.1317417591482042,0.14766756570974968,0.14586491837989954,0.1306148227648992,0.1682106326918081,0.0810456268061368,0.0531289130687107,0.14133848358110587,0.06839205577799559,0.04951332912248367,0.1543566878233697,0.4152495894005675,0.3867123049576214,0.11451640829285227,0.4286645112441002,0.3930014085267382,0.12593112442273222
usr_persona_mean-consistency,-0.018832204545314382,-0.016934411734550337,0.13422728292299205,0.10210694405642044,0.07705137188210266,0.12392915639022224,-0.03779654695588878,-0.038113217450557214,0.108792107355105,-0.09885646959406054,-0.09489232859916985,0.1381201550360686,0.10633809465646275,0.0993802005667547,0.11090815819740894,0.06869136264683662,0.05856538384170019,0.12134017452445199,0.04753440423237038,0.02417552368448455,0.11942490013116483,0.05201726522444141,0.05743386018453071,0.12451073774634468,0.06340565549140703,0.06783185777267486,0.12414629812978323,0.04991100207524146,0.052011099182110485,0.12219931953188734
usr_topic_mean-consistency,-0.1254248556688746,-0.1388528686692748,0.12284530768902036,0.3619602703570624,0.35818496723140897,0.12371617411620221,-0.026216239684071697,-0.0011184726577570308,0.12941534248701736,-0.18873128942928036,-0.18595203164759055,0.13820618251403938,0.3523536264800139,0.3426148596694155,0.12334647110739265,0.26145043247810923,0.2591870410988179,0.13186876147230886,0.251382122054609,0.24323768915205615,0.1274145232576215,0.23996676168909012,0.23886483873508993,0.1071650853693562,0.1812293684341823,0.16607432400180872,0.12197489026522061,0.1268288696757091,0.11533331263090682,0.12638540198655868
